Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
87,Anthony Black,22,ORL,PG,57,37,31.4,5.7,12.5,0.458,1.6,4.8,0.343,4.1,7.7,0.53,0.524,2.7,3.7,0.738,0.7,3.3,4,3.9,1.4,0.7,2.2,2.7,15.8,,blackan01
88,Domantas Sabonis,29,SAC,C,19,15,29.7,6.3,11.6,0.543,0.3,1.4,0.185,6.1,10.2,0.593,0.554,2.9,4.1,0.727,3.4,8,11.4,4.1,0.9,0.2,2.7,3.5,15.8,,sabondo01
89,Mikal Bridges,29,NYK,SF,59,59,34.1,6.3,12.6,0.498,2.1,5.5,0.382,4.2,7.1,0.587,0.581,1.1,1.3,0.829,1.1,3.1,4.2,4,1.4,0.8,1.1,2,15.7,,bridgmi01
90,Jrue Holiday,35,POR,PG,30,28,28.4,5.8,12.8,0.456,2.3,6.2,0.374,3.5,6.6,0.533,0.547,1.7,2.1,0.81,1.6,3,4.6,6.3,1.2,0.1,2.8,1.7,15.7,,holidjr01
91,Jabari Smith Jr.,22,HOU,PF,55,55,35,5.6,12.5,0.45,2.3,6.2,0.37,3.3,6.2,0.531,0.543,2.1,2.7,0.769,1.5,5.5,7,1.8,0.8,1,1.3,2.5,15.6,,smithja05
92,Matas Buzelis,21,CHI,PF,59,59,28.4,5.5,11.6,0.474,2.1,5.7,0.367,3.4,5.8,0.578,0.565,2.2,2.8,0.778,1,4.4,5.4,2,0.7,1.5,2,2.4,15.3,,buzelma01
93,VJ Edgecombe,20,PHI,SG,54,54,35.3,5.6,13.2,0.428,2.1,5.7,0.364,3.6,7.5,0.477,0.506,1.9,2.4,0.805,1.5,4,5.5,4,1.5,0.5,1.9,3,15.3,,edgecvj01
94,Naji Marshall,28,DAL,SF,56,32,29.7,5.6,10.6,0.53,0.9,2.9,0.298,4.7,7.7,0.616,0.57,3.2,4.1,0.766,0.9,4,4.9,3,1.1,0.1,1.4,1.9,15.2,,marshna01
95,Jaden McDaniels,25,MIN,PF,57,57,32.3,5.7,11,0.518,1.6,3.5,0.452,4.2,7.6,0.549,0.589,2.2,2.6,0.842,1.2,3.2,4.4,2.9,1,1.1,1.8,3.4,15.2,,mcdanja02
96,Russell Westbrook,37,SAC,SF,55,49,28.9,5.6,13,0.428,2,5.9,0.343,3.5,7.1,0.5,0.506,1.9,2.8,0.704,1.3,4.2,5.5,6.4,1.3,0.2,3.4,2.4,15.1,,westbru01
97,Jaime Jaquez Jr.,24,MIA,SF,54,1,28.6,6.1,12.1,0.503,0.5,2,0.259,5.6,10.1,0.551,0.525,2.3,3.1,0.752,1.4,4,5.4,4.6,0.8,0.3,2.2,2,15,,jaqueja01
